k,vin,code,err
0,0.006432,0,0
1,0.019295,0,-1
2,0.032158,0,-2
3,0.045021,0,-3
4,0.057885,0,-4
5,0.070748,0,-5
6,0.083611,0,-6
7,0.096475,0,-7
8,0.109338,0,-8
9,0.122201,0,-9
10,0.135064,0,-10
11,0.147928,0,-11
12,0.160791,0,-12
13,0.173654,0,-13
14,0.186518,0,-14
15,0.199381,0,-15
16,0.212244,0,-16
17,0.225107,0,-17
18,0.237971,0,-18
19,0.250834,0,-19
20,0.263697,0,-20
21,0.276561,0,-21
22,0.289424,0,-22
23,0.302287,0,-23
24,0.315150,0,-24
25,0.328014,0,-25
26,0.340877,0,-26
27,0.353740,0,-27
28,0.366604,0,-28
29,0.379467,0,-29
30,0.392330,0,-30
31,0.405193,31,0
32,0.418057,32,0
33,0.430920,33,0
34,0.443783,34,0
35,0.456646,35,0
36,0.469510,36,0
37,0.482373,37,0
38,0.495236,38,0
39,0.508100,39,0
40,0.520963,40,0
41,0.533826,41,0
42,0.546689,42,0
43,0.559553,43,0
44,0.572416,44,0
45,0.585279,45,0
46,0.598143,46,0
47,0.611006,47,0
48,0.623869,48,0
49,0.636732,49,0
50,0.649596,50,0
51,0.662459,51,0
52,0.675322,52,0
53,0.688186,53,0
54,0.701049,54,0
55,0.713912,55,0
56,0.726775,56,0
57,0.739639,57,0
58,0.752502,58,0
59,0.765365,59,0
60,0.778229,60,0
61,0.791092,61,0
62,0.803955,62,0
63,0.816818,63,0
64,0.829682,64,0
65,0.842545,65,0
66,0.855408,66,0
67,0.868271,67,0
68,0.881135,68,0
69,0.893998,69,0
70,0.906861,70,0
71,0.919725,71,0
72,0.932588,72,0
73,0.945451,73,0
74,0.958314,74,0
75,0.971178,75,0
76,0.984041,76,0
77,0.996904,77,0
78,1.009768,78,0
79,1.022631,79,0
80,1.035494,80,0
81,1.048357,81,0
82,1.061221,82,0
83,1.074084,83,0
84,1.086947,84,0
85,1.099811,85,0
86,1.112674,86,0
87,1.125537,87,0
88,1.138400,88,0
89,1.151264,89,0
90,1.164127,90,0
91,1.176990,91,0
92,1.189854,92,0
93,1.202717,93,0
94,1.215580,94,0
95,1.228443,95,0
96,1.241307,96,0
97,1.254170,97,0
98,1.267033,98,0
99,1.279896,99,0
100,1.292760,100,0
101,1.305623,101,0
102,1.318486,101,-1
103,1.331350,102,-1
104,1.344213,103,-1
105,1.357076,104,-1
106,1.369939,105,-1
107,1.382803,106,-1
108,1.395666,107,-1
109,1.408529,108,-1
110,1.421393,109,-1
111,1.434256,110,-1
112,1.447119,111,-1
113,1.459982,112,-1
114,1.472846,113,-1
115,1.485709,114,-1
116,1.498572,115,-1
117,1.511436,116,-1
118,1.524299,117,-1
119,1.537162,118,-1
120,1.550025,119,-1
121,1.562889,120,-1
122,1.575752,121,-1
123,1.588615,122,-1
124,1.601479,123,-1
125,1.614342,124,-1
126,1.627205,125,-1
127,1.640068,126,-1
128,1.652932,127,-1
129,1.665795,128,-1
130,1.678658,129,-1
131,1.691521,130,-1
132,1.704385,131,-1
133,1.717248,132,-1
134,1.730111,133,-1
135,1.742975,134,-1
136,1.755838,135,-1
137,1.768701,136,-1
138,1.781564,137,-1
139,1.794428,138,-1
140,1.807291,139,-1
141,1.820154,140,-1
142,1.833018,141,-1
143,1.845881,142,-1
144,1.858744,143,-1
145,1.871607,144,-1
146,1.884471,145,-1
147,1.897334,146,-1
148,1.910197,147,-1
149,1.923061,148,-1
150,1.935924,149,-1
151,1.948787,150,-1
152,1.961650,151,-1
153,1.974514,152,-1
154,1.987377,153,-1
155,2.000240,154,-1
156,2.013104,155,-1
157,2.025967,156,-1
158,2.038830,157,-1
159,2.051693,158,-1
160,2.064557,159,-1
161,2.077420,160,-1
162,2.090283,161,-1
163,2.103146,162,-1
164,2.116010,163,-1
165,2.128873,164,-1
166,2.141736,165,-1
167,2.154600,166,-1
168,2.167463,167,-1
169,2.180326,168,-1
170,2.193189,169,-1
171,2.206053,170,-1
172,2.218916,171,-1
173,2.231779,172,-1
174,2.244643,173,-1
175,2.257506,174,-1
176,2.270369,175,-1
177,2.283232,176,-1
178,2.296096,177,-1
179,2.308959,178,-1
180,2.321822,179,-1
181,2.334686,180,-1
182,2.347549,181,-1
183,2.360412,182,-1
184,2.373275,183,-1
185,2.386139,184,-1
186,2.399002,185,-1
187,2.411865,186,-1
188,2.424729,187,-1
189,2.437592,188,-1
190,2.450455,189,-1
191,2.463318,190,-1
192,2.476182,191,-1
193,2.489045,192,-1
