k,vin,code,err
0,0.006432,0,0
1,0.019295,0,-1
2,0.032158,0,-2
3,0.045021,0,-3
4,0.057885,0,-4
5,0.070748,0,-5
6,0.083611,0,-6
7,0.096475,0,-7
8,0.109338,0,-8
9,0.122201,0,-9
10,0.135064,0,-10
11,0.147928,0,-11
12,0.160791,0,-12
13,0.173654,0,-13
14,0.186518,0,-14
15,0.199381,0,-15
16,0.212244,0,-16
17,0.225107,0,-17
18,0.237971,0,-18
19,0.250834,0,-19
20,0.263697,0,-20
21,0.276561,0,-21
22,0.289424,0,-22
23,0.302287,0,-23
24,0.315150,0,-24
25,0.328014,0,-25
26,0.340877,0,-26
27,0.353740,0,-27
28,0.366604,0,-28
29,0.379467,0,-29
30,0.392330,0,-30
31,0.405193,0,-31
32,0.418057,0,-32
33,0.430920,0,-33
34,0.443783,0,-34
35,0.456646,0,-35
36,0.469510,0,-36
37,0.482373,0,-37
38,0.495236,0,-38
39,0.508100,39,0
40,0.520963,40,0
41,0.533826,41,0
42,0.546689,42,0
43,0.559553,43,0
44,0.572416,44,0
45,0.585279,45,0
46,0.598143,46,0
47,0.611006,47,0
48,0.623869,48,0
49,0.636732,49,0
50,0.649596,50,0
51,0.662459,51,0
52,0.675322,52,0
53,0.688186,53,0
54,0.701049,54,0
55,0.713912,55,0
56,0.726775,56,0
57,0.739639,57,0
58,0.752502,58,0
59,0.765365,59,0
60,0.778229,60,0
61,0.791092,61,0
62,0.803955,62,0
63,0.816818,63,0
64,0.829682,64,0
65,0.842545,65,0
66,0.855408,66,0
67,0.868271,67,0
68,0.881135,68,0
69,0.893998,69,0
70,0.906861,70,0
71,0.919725,71,0
72,0.932588,72,0
73,0.945451,73,0
74,0.958314,74,0
75,0.971178,75,0
76,0.984041,76,0
77,0.996904,77,0
78,1.009768,78,0
79,1.022631,79,0
80,1.035494,80,0
81,1.048357,81,0
82,1.061221,82,0
83,1.074084,83,0
84,1.086947,84,0
85,1.099811,85,0
86,1.112674,86,0
87,1.125537,87,0
88,1.138400,88,0
89,1.151264,89,0
90,1.164127,90,0
91,1.176990,91,0
92,1.189854,92,0
93,1.202717,93,0
94,1.215580,94,0
95,1.228443,95,0
96,1.241307,96,0
97,1.254170,97,0
98,1.267033,98,0
99,1.279896,99,0
100,1.292760,100,0
101,1.305623,101,0
102,1.318486,102,0
103,1.331350,102,-1
104,1.344213,103,-1
105,1.357076,104,-1
106,1.369939,105,-1
107,1.382803,106,-1
108,1.395666,107,-1
109,1.408529,108,-1
110,1.421393,109,-1
111,1.434256,110,-1
112,1.447119,111,-1
113,1.459982,112,-1
114,1.472846,113,-1
115,1.485709,114,-1
116,1.498572,115,-1
117,1.511436,116,-1
118,1.524299,117,-1
119,1.537162,118,-1
120,1.550025,119,-1
121,1.562889,120,-1
122,1.575752,121,-1
123,1.588615,122,-1
124,1.601479,124,0
125,1.614342,124,-1
126,1.627205,126,0
127,1.640068,127,0
128,1.652932,128,0
129,1.665795,129,0
130,1.678658,130,0
131,1.691521,129,-2
132,1.704385,133,1
133,1.717248,131,-2
134,1.730111,135,1
135,1.742975,136,1
136,1.755838,137,1
137,1.768701,135,-2
138,1.781564,139,1
139,1.794428,140,1
140,1.807291,141,1
141,1.820154,138,-3
142,1.833018,139,-3
143,1.845881,144,1
144,1.858744,145,1
145,1.871607,142,-3
146,1.884471,143,-3
147,1.897334,149,2
148,1.910197,150,2
149,1.923061,146,-3
150,1.935924,152,2
151,1.948787,153,2
152,1.961650,154,2
153,1.974514,150,-3
154,1.987377,151,-3
155,2.000240,157,2
156,2.013104,158,2
157,2.025967,154,-3
158,2.038830,160,2
159,2.051693,161,2
160,2.064557,162,2
161,2.077420,158,-3
162,2.090283,159,-3
163,2.103146,159,-4
164,2.116010,166,2
165,2.128873,162,-3
166,2.141736,168,2
167,2.154600,169,2
168,2.167463,170,2
169,2.180326,166,-3
170,2.193189,167,-3
171,2.206053,172,1
172,2.218916,173,1
173,2.231779,170,-3
174,2.244643,171,-3
175,2.257506,176,1
176,2.270369,177,1
177,2.283232,174,-3
178,2.296096,175,-3
179,2.308959,180,1
180,2.321822,181,1
181,2.334686,178,-3
182,2.347549,179,-3
183,2.360412,184,1
184,2.373275,185,1
185,2.386139,182,-3
186,2.399002,183,-3
187,2.411865,188,1
188,2.424729,189,1
189,2.437592,186,-3
190,2.450455,187,-3
191,2.463318,192,1
192,2.476182,192,0
193,2.489045,191,-2
194,2.501908,194,0
195,2.514771,193,-2
196,2.527635,196,0
