* corner=ss temp=125 vdd=2.97 od=6.457e-3 vth=1.485
vcm_V t_clk2q_s vout1_at_14n vout2_at_14n
0.3 -1 3.03113 3.03087
0.45 -1 2.99847 2.99653
0.6 -1 2.00647 2.25827
0.75 3.24617E-09 0.00227376 2.96913
0.9 1.39673E-09 1.4047E-07 2.97
1.05 7.98664E-10 1.15017E-07 2.97
1.2 5.51623E-10 1.03336E-07 2.97
1.35 4.26824E-10 9.67033E-08 2.97
1.485 3.62078E-10 9.28008E-08 2.97
1.65 3.13998E-10 8.94864E-08 2.97
1.8 2.8689E-10 8.73143E-08 2.97
1.95 2.6912E-10 8.5654E-08 2.97
2.1 2.57291E-10 8.43452E-08 2.97
2.25 2.49421E-10 8.32882E-08 2.97
2.4 2.44272E-10 8.24175E-08 2.97
2.55 2.41027E-10 8.16888E-08 2.97
2.67 2.39423E-10 8.11866E-08 2.97
