corner,vdd,vcm,delay_s,v1min,v2min,verdict
ff,3.0,0.4,1.02587E-09,1.21349,-9.50956E-06,PARTIAL
ff,3.0,0.7,1.00999E-09,-0.00597098,1.63033,PARTIAL
ff,3.0,1.0,9.72889E-10,-0.065453,2.16537,PASS
ff,3.0,1.3,9.64571E-10,-0.0909256,2.36768,PASS
ff,3.0,1.65,9.71921E-10,-0.0604353,2.53708,PASS
ff,3.0,2.0,9.88127E-10,-0.0410639,2.66222,PASS
ff,3.0,2.4,1.00992E-09,-0.0356469,2.74872,PASS
ff,3.0,2.8,1.02086E-09,-0.0282582,2.58054,PASS
ff,3.3,0.4,1.00895E-09,1.3221,-7.0104E-06,PARTIAL
ff,3.3,0.7,9.92496E-10,-0.00601242,1.82869,PARTIAL
ff,3.3,1.0,9.58636E-10,-0.0632345,2.39537,PASS
ff,3.3,1.3,9.5065E-10,-0.0939364,2.60535,PASS
ff,3.3,1.65,9.57006E-10,-0.0628681,2.78728,PASS
ff,3.3,2.0,9.7238E-10,-0.0522885,2.92429,PASS
ff,3.3,2.4,9.96291E-10,-0.0396228,3.02241,PASS
ff,3.3,2.8,1.01627E-09,-0.0339473,2.87927,PASS
ff,3.6,0.4,9.9611E-10,1.4293,-9.98757E-06,PARTIAL
ff,3.6,0.7,9.79449E-10,-0.00605307,2.02474,PARTIAL
ff,3.6,1.0,9.47738E-10,-0.0557134,2.62547,PASS
ff,3.6,1.3,9.39769E-10,-0.0963042,2.84557,PASS
ff,3.6,1.65,9.4489E-10,-0.0648122,3.03413,PASS
ff,3.6,2.0,9.59028E-10,-0.0618664,3.17877,PASS
ff,3.6,2.4,9.82358E-10,-0.0425023,3.28447,PASS
ff,3.6,2.8,1.01042E-09,-0.037845,3.16687,PASS
fs,3.0,0.4,1.08118E-09,1.14653,-0.000114593,PARTIAL
fs,3.0,0.7,1.08238E-09,1.23863,-0.00814351,PARTIAL
fs,3.0,1.0,1.04809E-09,-0.0296624,1.77922,PARTIAL
