corner,vdd,vcm,delay_s,v1late,v2late,v1min,v2min,verdict
ff,3.0,0.4,1.32598E-09,3,-6.0213E-06,1.22765,-9.46905E-06,WRONGPOL
ff,3.0,0.7,1.29228E-09,-0.00596103,3,-0.00596956,1.89483,PASS
ff,3.0,1.0,1.26439E-09,-0.0587505,2.99907,-0.0654736,2.34782,PASS
ff,3.0,1.3,1.27144E-09,-0.0898789,2.9999,-0.0909291,2.57782,PASS
ff,3.0,1.65,1.30908E-09,-0.050067,2.99988,-0.0567339,2.74631,PASS
ff,3.0,2.0,1.3932E-09,-0.0393167,2.99984,-0.0408813,2.86867,PASS
ff,3.0,2.4,1.44857E-09,-0.0335039,2.99978,-0.0356745,2.52631,PASS
ff,3.0,2.8,1.40331E-09,-0.0253204,2.99974,-0.028291,1.54588,PASS
ff,3.3,0.4,1.30903E-09,3.3,-6.79053E-06,1.33639,-6.8382E-06,WRONGPOL
ff,3.3,0.7,1.27647E-09,-0.00598027,3.3,-0.00601002,2.10818,PASS
ff,3.3,1.0,1.25075E-09,-0.0524969,3.29887,-0.0633402,2.58065,PASS
ff,3.3,1.3,1.25595E-09,-0.0928563,3.2999,-0.0939332,2.82387,PASS
ff,3.3,1.65,1.28834E-09,-0.0539933,3.29988,-0.0613703,3.00612,PASS
ff,3.3,2.0,1.36198E-09,-0.0424316,3.29986,-0.0439438,3.1287,PASS
ff,3.3,2.4,1.45609E-09,-0.0376671,3.29981,-0.0396607,2.7589,PASS
ff,3.3,2.8,1.41061E-09,-0.0311732,3.29973,-0.0339862,1.72865,PASS
ff,3.6,0.4,1.29618E-09,3.6,-9.29065E-06,1.4416,-9.5886E-06,WRONGPOL
ff,3.6,0.7,1.26468E-09,-0.00599791,3.6,-0.00604885,2.3161,PASS
ff,3.6,1.0,1.24002E-09,-0.0416523,3.59898,-0.0560067,2.82133,PASS
ff,3.6,1.3,1.24356E-09,-0.095187,3.5999,-0.0963047,3.06895,PASS
ff,3.6,1.65,1.27075E-09,-0.0571093,3.59989,-0.0643002,3.26112,PASS
ff,3.6,2.0,1.33221E-09,-0.0448339,3.59987,-0.0463277,3.37926,PASS
ff,3.6,2.4,1.4563E-09,-0.0406553,3.59983,-0.0425411,3.02801,PASS
ff,3.6,2.8,1.41443E-09,-0.0353558,3.59976,-0.0378977,2.03022,PASS
fs,3.0,0.4,1.38149E-09,3,-0.000112882,1.17723,-0.000114616,WRONGPOL
fs,3.0,0.7,1.36632E-09,-0.00789285,3,-0.00790161,1.53847,PASS
fs,3.0,1.0,1.32806E-09,-0.0276621,2.99978,-0.0296806,2.05776,PASS
fs,3.0,1.3,1.31824E-09,-0.0693365,2.99977,-0.0708712,2.27434,PASS
fs,3.0,1.65,1.3277E-09,-0.0326161,2.99972,-0.0567512,2.44496,PASS
fs,3.0,2.0,1.34896E-09,-0.0241262,2.99973,-0.0365439,2.57992,PASS
fs,3.0,2.4,1.37856E-09,-0.0184887,2.99989,-0.0195026,2.68674,PASS
fs,3.0,2.8,1.39547E-09,-0.0162317,2.99995,-0.0166611,2.45588,PASS
fs,3.3,0.4,1.35864E-09,3.3,-0.000111636,1.28906,-0.00011188,WRONGPOL
fs,3.3,0.7,1.34215E-09,-0.00792995,3.3,-0.00793306,1.74212,PASS
fs,3.3,1.0,1.30764E-09,-0.0268589,3.29984,-0.0283898,2.28736,PASS
fs,3.3,1.3,1.29882E-09,-0.0731369,3.29977,-0.0747765,2.51502,PASS
fs,3.3,1.65,1.30773E-09,-0.0359675,3.29973,-0.0592531,2.69931,PASS
fs,3.3,2.0,1.32922E-09,-0.0276974,3.2997,-0.0475587,2.84787,PASS
fs,3.3,2.4,1.36296E-09,-0.0212169,3.29983,-0.0228397,2.96649,PASS
fs,3.3,2.8,1.38955E-09,-0.018149,3.29992,-0.0188426,2.75901,PASS
fs,3.6,0.4,1.34101E-09,3.6,-0.00011018,1.39933,-0.000110296,WRONGPOL
fs,3.6,0.7,1.32363E-09,-0.00795947,3.6,-0.00797657,1.94582,PASS
fs,3.6,1.0,1.29187E-09,-0.0261309,3.59989,-0.0272965,2.51523,PASS
fs,3.6,1.3,1.28364E-09,-0.0761259,3.59977,-0.0779237,2.75213,PASS
fs,3.6,1.65,1.29144E-09,-0.0386203,3.59974,-0.061051,2.94718,PASS
fs,3.6,2.0,1.31201E-09,-0.0305848,3.5997,-0.0571541,3.10563,PASS
fs,3.6,2.4,1.34656E-09,-0.0239093,3.59978,-0.0260505,3.23349,PASS
fs,3.6,2.8,1.38422E-09,-0.0200187,3.5999,-0.0210571,3.03737,PASS
sf,3.0,0.4,1.47143E-09,3,-2.11964E-06,1.27057,-2.29645E-06,WRONGPOL
sf,3.0,0.7,1.47881E-09,3,-0.00200833,1.41735,-0.00200959,WRONGPOL
sf,3.0,1.0,1.41933E-09,-0.0145977,2.99999,-0.0146883,1.82754,PASS
sf,3.0,1.3,1.38169E-09,-0.0450545,2.99915,-0.0558702,2.15821,PASS
sf,3.0,1.65,1.37219E-09,-0.0845428,2.99974,-0.0864938,2.34754,PASS
