corner,vdd,vin1_frac,expected_fall,delay_s,v1late,v2late,verdict
ff,3.0,0.03,1,1.21374E-09,-2.93179E-05,3,PASS
ff,3.0,0.15,1,1.21375E-09,-2.53094E-05,3,PASS
ff,3.0,0.30,1,1.21376E-09,-0.0178685,2.99991,PASS
ff,3.0,0.45,1,1.2155E-09,-0.113708,2.99988,PASS
ff,3.0,0.55,2,1.2158E-09,2.99988,-0.0860407,PASS
ff,3.0,0.70,2,1.21344E-09,2.99985,-0.0831416,PASS
ff,3.0,0.85,2,1.21374E-09,2.99981,-0.079956,PASS
ff,3.0,0.97,2,1.21405E-09,2.99979,-0.0766967,PASS
ff,3.3,0.03,1,1.2051E-09,-3.02587E-05,3.3,PASS
ff,3.3,0.15,1,1.2051E-09,-2.42839E-05,3.3,PASS
ff,3.3,0.30,1,1.20511E-09,-0.0320122,3.29948,PASS
ff,3.3,0.45,1,1.20665E-09,-0.0948974,3.29988,PASS
ff,3.3,0.55,2,1.20696E-09,3.29988,-0.0570888,PASS
ff,3.3,0.70,2,1.20526E-09,3.29985,-0.0541441,PASS
ff,3.3,0.85,2,1.20557E-09,3.29981,-0.0516997,PASS
ff,3.3,0.97,2,1.20589E-09,3.29977,-0.048431,PASS
ff,3.6,0.03,1,1.19887E-09,-2.94895E-05,3.6,PASS
ff,3.6,0.15,1,1.19887E-09,-3.23964E-05,3.6,PASS
ff,3.6,0.30,1,1.19887E-09,-0.0989415,3.59824,PASS
ff,3.6,0.45,1,1.19982E-09,-0.0665223,3.59988,PASS
ff,3.6,0.55,2,1.20022E-09,3.59987,-0.0450762,PASS
ff,3.6,0.70,2,1.19916E-09,3.59985,-0.0439491,PASS
ff,3.6,0.85,2,1.19937E-09,3.59981,-0.0411279,PASS
ff,3.6,0.97,2,1.19958E-09,3.59976,-0.0377939,PASS
fs,3.0,0.03,1,1.25043E-09,-7.91211E-05,3,PASS
fs,3.0,0.15,1,1.25049E-09,-6.8683E-05,3,PASS
fs,3.0,0.30,1,1.25062E-09,-0.013079,2.99966,PASS
fs,3.0,0.45,1,1.25462E-09,-0.0787407,2.99986,PASS
fs,3.0,0.55,2,1.25207E-09,2.99977,-0.0483183,PASS
fs,3.0,0.70,2,1.24646E-09,3.00002,-0.044404,PASS
fs,3.0,0.85,2,1.24676E-09,3.00179,-0.0507168,PASS
fs,3.0,0.97,2,1.24748E-09,2.99729,-0.0734772,PASS
fs,3.3,0.03,1,1.23639E-09,-7.24769E-05,3.3,PASS
fs,3.3,0.15,1,1.23642E-09,-5.33435E-05,3.3,PASS
fs,3.3,0.30,1,1.23648E-09,-0.0223427,3.29976,PASS
fs,3.3,0.45,1,1.2391E-09,-0.0560283,3.29977,PASS
fs,3.3,0.55,2,1.23825E-09,3.29972,-0.0343279,PASS
fs,3.3,0.70,2,1.23507E-09,3.29978,-0.0303339,PASS
fs,3.3,0.85,2,1.23548E-09,3.30023,-0.0279325,PASS
fs,3.3,0.97,2,1.23618E-09,3.30204,-0.0346835,PASS
fs,3.6,0.03,1,1.22637E-09,-7.31336E-05,3.6,PASS
fs,3.6,0.15,1,1.22638E-09,-4.27843E-05,3.6,PASS
fs,3.6,0.30,1,1.22639E-09,-0.0314326,3.59975,PASS
fs,3.6,0.45,1,1.22816E-09,-0.0397543,3.59973,PASS
fs,3.6,0.55,2,1.22822E-09,3.5997,-0.0322227,PASS
fs,3.6,0.70,2,1.22601E-09,3.59973,-0.0269987,PASS
